2021-02-19 19:07:43 INFO  - Task1 DB
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-3695 Ad Server New Campaign verify that 3rd party tag can be edited 2016-10-13 10:33:57
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3b74ac8 KS-2860 Ad server Verify that summary section and campaigns grid are displayed 2016-10-13 10:36:29
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3eb81efb KS-4353 Verify that Connect Partner can be saved with required fields 2016-10-12 22:11:48
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3eb81efb KS-4846 Settings Verify that Bidder Group can be created 2016-10-12 22:33:47
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3eb81efb KS-3272 Ad server verify that actions can be performed for Running campaigns 2016-10-13 00:09:00
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3eb81efb KS-3696 Ad server new campaign verify that creative and tag can be deleted 2016-10-13 00:11:37
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3eb81efb KS-4348 PSS Create new Block group verify that block group can be added by Nexage admin as PSS admin 2016-10-13 00:13:31
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3eb81efb KS-4476 PSS Verify that its possible to edit an app site Android 2016-10-13 00:21:24
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3eb81efb KS-1813 Verify that Nexage Only Configuration can be saved 2016-10-13 00:24:40
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3eb81efb KS-5988 Verify that its possible to clone deal 2016-10-13 00:42:09
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3eb81efb KS-6978 PSS MM Network Verify that it's possible to copy tag 2016-10-13 00:48:24
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3eb81efb KS-4578 Verify that Placement can be edited in the Settings tab 2016-10-13 07:32:36
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3eb81efb KS-6010 Verify AND search for Available suppliers grid 2016-10-13 07:32:38
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3eb81efb KS-5694 Sellers: Position Setup: add and edit position with Interstitial type 2016-10-13 08:14:10
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@3eb81efb KS-5399 Impersonate PSS Campaign Status verify that incomplete campaign can be changed to running 2016-10-13 10:36:31
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@1ae8bcbc KS-4787 PSS Verify that positions and sites can be selected for new Campaign Position 2016-10-13 00:08:55
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@1ae8bcbc KS-5359 PSS Campaign Targeting verify that Block specific devices can be saved 2016-10-13 00:11:50
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@1ae8bcbc KS-5294 PSS Campaign Direct Campaign data in all sections can be saved by Next Back buttons 2016-10-13 00:53:39
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@1ae8bcbc KS-6265 Verify that Seller admin can be created 2016-10-13 07:38:29
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@1ae8bcbc KS-5430 PSS Campaign Creatives verify that creative and 3rd party tag can be deleted 2016-10-13 07:57:31
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@1ae8bcbc KS-5409 PSS Campagin Status verify that running campaign can be edited 2016-10-13 07:57:32
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@1ae8bcbc KS-5841 Verify that MM Network Ad Source can be created 2016-10-13 08:01:24
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@6cdba6dc KS-405 Verify that Reports tabs can be added 2016-10-12 20:36:26
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@6cdba6dc KS-6408 PSS Campaign verify that campaign can be created 2016-10-12 22:09:12
2021-02-19 19:08:03 INFO  - by.a1qa.models.Project@6cdba6dc KS-4615 Verify that Nexage admin can be created 2016-10-12 22:09:40
